temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
17,,,manual,manual,1622112344775,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,QpPYBKhkWBj9GEP9CRJAjlgKN2tRiX,2021-05-27T10:45:44.775Z,
16.3,,,manual,manual,1622097770220,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,bl0bUpXNeCZMAmgyqS3vAXXcmTLEya,2021-05-27T06:42:50.220Z,
16.6,,,manual,manual,1622063099901,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,0VPeUYkc0LWq7yZAgLTHpRkVsItVcu,2021-05-26T21:04:59.901Z,
17.1,,,manual,manual,1622033760000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,45KHrAL4BpyIzzTh1j1UPbNo604GfP,2021-05-26T12:56:00.000Z,
16.2,,,manual,manual,1622012341899,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,cMqDe9o9NqKagHO093V93LE1nDmCRx,2021-05-26T06:59:01.899Z,
16.3,NaN,,manual,manual,1621979601709,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,IB9h5HdUVaDJw3KzIyhbdj91q09j9v,2021-05-25T21:53:21.709Z,NaN
16.1,,,manual,manual,1621943580000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,klxuAvKo7BkN3CVCVcWYRXwLzy9Iie,2021-05-25T11:53:00.000Z,
16.9,,,manual,manual,1621930200000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,M5e8z9Kywug0gun8bjKGFPZtfrET4m,2021-05-25T08:10:00.000Z,
17.1,,,manual,manual,1621892728726,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ugSoYOb0SUiaCn4bFw7Nbhnsz7H432,2021-05-24T21:45:28.726Z,
16.3,,,manual,manual,1621863474975,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,aS04AgICVRdSTnkgWxrbMtFOD9YxZt,2021-05-24T13:37:54.975Z,
16.6,,,manual,manual,1621839120000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,vH68bIRx5OaJ3LjwVbAbYVKfVo0Rb5,2021-05-24T06:52:00.000Z,
17.1,,,manual,manual,1621805975019,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,VQSylk2ImWwtUuzhd04GHMZeOKrxlH,2021-05-23T21:39:35.019Z,
16.3,,,manual,manual,1621787921156,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ULWBpMiNbdquWYNDitMqBtbYMi8fcR,2021-05-23T16:38:41.156Z,
16,,,manual,manual,1621755011042,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,GzdQ9bsdyEh7jbGzBhT5f3LNGWGmnB,2021-05-23T07:30:11.042Z,
16.4,,,manual,manual,1621717457030,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,AI7TMTmPsN9kpYUZAb5BLcsDIYWy4f,2021-05-22T21:04:17.030Z,0.01
16.1,,,manual,manual,1621686270455,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,SN18KgA2idjCCAp1sFj4LHaBRTjaID,2021-05-22T12:24:30.455Z,
16.9,,,manual,manual,1621674172133,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,FedVddwOSHdm2xJWWBWGj0no8MuwIt,2021-05-22T09:02:52.133Z,
16.9,,,manual,manual,1621633894198,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,gpqUUZA6nSxw1sGaXqOvx9Q5rEIvrn,2021-05-21T21:51:34.198Z,
16.9,,,manual,manual,1621612622012,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,nrpHhQMtJmgqzgO3RhJZZIybnf2bSg,2021-05-21T15:57:02.012Z,
16.6,,,manual,manual,1621593687031,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,24PyajfHDMFabQ2bm6r3wLbfRNWYx8,2021-05-21T10:41:27.031Z,
17,,,manual,manual,1621575785902,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,LTg70p6AprHtgROsPlGD1JdCWr8Bcs,2021-05-21T05:43:05.902Z,
17.1,,,manual,manual,1621528040028,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,e01TgIJt9s7uLo5at94PrmYgLnycn2,2021-05-20T16:27:20.028Z,
16.1,,,manual,manual,1621514054017,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,b2j8IBR4VLAKGCGCcmryaSj3fpi7uh,2021-05-20T12:34:14.017Z,
16.8,,,manual,manual,1621500815650,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,RTOy3LzAqTAlJpbWRj10dq6O0PMt24,2021-05-20T08:53:35.650Z,
17.1,,,manual,manual,1621449079444,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,WMR9UCLzUGiiRXNHF5yaH1NpoFryqr,2021-05-19T18:31:19.444Z,
16.8,,,manual,manual,1621421540528,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,LOJN2OcoBlsH7ui4p5Ub99CkAdVaou,2021-05-19T10:52:20.528Z,
17.1,,,manual,manual,1621411182407,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,kcBNQmII9WpS2LbbcXiXOqjtaEe4kx,2021-05-19T07:59:42.407Z,
17.1,,,manual,manual,1621367156083,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,e5iucMBmpkytU5QOfNXGKMBthQo6Ab,2021-05-18T19:45:56.083Z,
16.2,,,manual,manual,1621344600000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,tMpbOPM2iX26KtoXxSkgYXbsBf21EI,2021-05-18T13:30:00.000Z,
16.5,,,manual,manual,1621316627918,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,5RokMLW6Aod0GSnl2O95QNhYMJPpiq,2021-05-18T05:43:47.918Z,
17.1,,,manual,manual,1621286700000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ZIAqeurOxWNfUqB5AuR5PfpId3Yz1D,2021-05-17T21:25:00.000Z,
16,,,manual,manual,1621275119761,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ir3JZaPATEGX45Akf6Qx3flZ7Q517h,2021-05-17T18:11:59.761Z,
17.1,,,manual,manual,1621250632883,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,wx8rlEQbhqvZgDBqXnFlHE8HChpwkr,2021-05-17T11:23:52.883Z,
15.9,,,manual,manual,1621231320000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,O0yMfW1JfIPrJyj5IxjLtePYpLW300,2021-05-17T06:02:00.000Z,
16,,,manual,manual,1621197540000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,4TAkRgUeY5U6mkghtjpkhUbHjt2XME,2021-05-16T20:39:00.000Z,
19.5,1,,manual,manual,1621173031811,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,wNUV4Nwh47csmbhp50LSW2tJaMvQVC,2021-05-16T13:50:31.811Z,
19.5,,,manual,manual,1621172450831,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,5hnRIa6B3OtdKPrd8blVHpA1nKlQKE,2021-05-16T13:40:50.831Z,
19.2,,,manual,manual,1621159380000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,G1c7vvrdRomGzzOGGYJd9FCt8Rk8Ow,2021-05-16T10:03:00.000Z,
19.2,,,manual,manual,1621112700000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,TACLLSQfL44HFsbgVJWjdyQnK2xT0j,2021-05-15T21:05:00.000Z,
19,,,manual,manual,1621098660000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,4PyWehWb64TpOzECYCrWDyDs99AoJc,2021-05-15T17:11:00.000Z,
18.6,,,manual,manual,1621080960000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,rvzg4BYf1DWTVz3HH9Nt3Iyzre4qVk,2021-05-15T12:16:00.000Z,
18.6,,,manual,manual,1621066200000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,1ugLNKJJfNMT5ANwSt19bsIbTKt1gA,2021-05-15T08:10:00.000Z,
19,,,manual,manual,1621029300000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,4melWKwoplWdBCg6TrXaxeT01ExLax,2021-05-14T21:55:00.000Z,
18.5,,,manual,manual,1621015920000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,f7CtGHw4U3VD8XG8LZWmvB49j7uVKt,2021-05-14T18:12:00.000Z,
18.7,,,manual,manual,1620991380000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,hfVZjJHFZMvxDcL9QRfJNpIJ7cdAXT,2021-05-14T11:23:00.000Z,
19.5,,,manual,manual,1620981480000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,1Mnd3n5I5c3I0VVNDzARjxvcXTpt2P,2021-05-14T08:38:00.000Z,
18.7,,,manual,manual,1620938100000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,enfh5olghPl4a20zZcXKETrzAwumqi,2021-05-13T20:35:00.000Z,
19.2,,,manual,manual,1620924600000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,2u5Z3KvJaud1J74p8pafE4hsHp1nx3,2021-05-13T16:50:00.000Z,
18.6,,,manual,manual,1620906060000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,QRKXZDbXjpgb6FlLfIPwfJJTLBXb2U,2021-05-13T11:41:00.000Z,
19.4,,,manual,manual,1620891240000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,htaHKkaFFGET7YC013oDjw8Zq0a94m,2021-05-13T07:34:00.000Z,
18.7,,,manual,manual,1620850920000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,7ce5edeS0kPVgTnvqu7HFKhtJYsnbp,2021-05-12T20:22:00.000Z,
18,,,manual,manual,1620837060000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,2NOUHcUJ6jCjbbJaHoR0kOJUSN6ZBG,2021-05-12T16:31:00.000Z,
16.9,,,manual,manual,1620820980000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,hnT4OAwATJXAve26ZmhfjpPyl3N7Qx,2021-05-12T12:03:00.000Z,
16.1,,,manual,manual,1620803693582,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,D08UkbqXovtnD0ogHCxYrlnG2P9LCd,2021-05-12T07:14:53.582Z,
16.3,,,manual,manual,1620767400000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,tvqteu0QUZySFtcw3f2d4vO5vDSjGz,2021-05-11T21:10:00.000Z,
16.5,,,manual,manual,1620758100000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Lj4Qzwv07TQ2gie1CXVbtYe50OlkQM,2021-05-11T18:35:00.000Z,
16.9,,,manual,manual,1620731820000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,w0LyEEbbjCXFwTx37YSFcirV12bwYG,2021-05-11T11:17:00.000Z,
16.1,,,manual,manual,1620717600000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,BX1jgGrdMyULHRIJiUv9MyYCEorktR,2021-05-11T07:20:00.000Z,
16.4,,,manual,manual,1620635460000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,mxY6mSPwGm7q4HgNPQgWn27mKZOxcB,2021-05-10T08:31:00.000Z,
16.8,,,manual,manual,1620595380000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,BExXO2ERrLyElYO3n83rhY3jsyuKKy,2021-05-09T21:23:00.000Z,
16.8,,,manual,manual,1620571800000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Yi1E3ffbmj66yVRjajzQpGc5obLlDp,2021-05-09T14:50:00.000Z,
17,,,manual,manual,1620563160000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,BLhaA2hP5CoWrH05eR3qsLzaXwxW9V,2021-05-09T12:26:00.000Z,
16.1,,,manual,manual,1620548959799,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,wVYG64Dqi7Ai6nEzQpEDPwXU1wjtax,2021-05-09T08:29:19.799Z,
17,,,manual,manual,1620509580000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,YgPJhXLNEtSZmPnZJ0Wnh5Lu5i8amx,2021-05-08T21:33:00.000Z,
16.6,,,manual,manual,1620496048317,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,zMETxIyUqx6PwWPomAa73Ija0bgNTE,2021-05-08T17:47:28.317Z,
16.5,,,manual,manual,1620478380000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,kvkGsScxnGucAWpCbZ8CuZBVYbDotb,2021-05-08T12:53:00.000Z,
16.7,,,manual,manual,1620459120000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,HpYLh9IZCIh8Vg5VpZU3a6P54xVQkM,2021-05-08T07:32:00.000Z,
17,,,manual,manual,1620422520000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,VVl4RAzsLe37TZbAhoIbq0yJ7HvZVM,2021-05-07T21:22:00.000Z,
16.4,NaN,,manual,manual,1620409023495,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,d2tTJgFxzeDy9Zcvzo2xmfl2DkUWdA,2021-05-07T17:37:03.495Z,NaN,
16.5,NaN,,manual,manual,1620384746297,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,dU9r0yP6DE8RI01SpgWrWQDqY12RYj,2021-05-07T10:52:26.297Z,NaN,
16.4,NaN,,manual,manual,1620368087010,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,0d4qs5GgB4mJHfSCbSyyxehrL058CC,2021-05-07T06:14:47.010Z,NaN,
16.4,NaN,,manual,manual,1620335647503,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,vGiExsYn5aN9NPpfeI1XvDDuUNNjfj,2021-05-06T21:14:07.503Z,NaN,
17,NaN,,manual,manual,1620306662149,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ghpZd4yutJfz4I0feHXkrrSUWExzHz,2021-05-06T13:11:02.149Z,NaN,
16.8,NaN,,manual,manual,1620290365709,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,0JZ2aZ3WWsI3AHD8oQoF9M1IrQdXYh,2021-05-06T08:39:25.709Z,NaN,
16,NaN,,manual,manual,1620249824014,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,SqIhbupdVDedkQqRHAAOlbGqMXxYCW,2021-05-05T21:23:44.014Z,NaN,
17,NaN,,manual,manual,1620234960000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Y8MoD2druonxihfzCSw3tlOGRnmmJf,2021-05-05T17:16:00.000Z,NaN,
17,NaN,,manual,manual,1620214055941,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,1L7qoowdjjp5WbqH5CAmj8rhZVNFpi,2021-05-05T11:27:35.941Z,NaN,
17,NaN,,manual,manual,1620196144031,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,TiOR8NNFfphxeMd9hIIQ8KHkqAQrIN,2021-05-05T06:29:04.031Z,NaN,
16.3,NaN,,manual,manual,1620162600000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,8UeO543QN0wpPgp6ZDtq63fx2T9Oo0,2021-05-04T21:10:00.000Z,NaN,
16.5,NaN,,manual,manual,1620147500693,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,LT5HxvY0aYJ12jclhBE22J2bqQ33lz,2021-05-04T16:58:20.693Z,NaN,
17,NaN,,manual,manual,1620126850607,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,3ThLNhRD3mOcoJMk5pJz1gFNqzl6CR,2021-05-04T11:14:10.607Z,NaN,
16.4,NaN,,manual,manual,1620107498013,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,5TaZ7Jed7x3h6liuO2KSy1NcSH82Tr,2021-05-04T05:51:38.013Z,NaN,
16.1,NaN,,manual,manual,1620078528980,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,b967tSJDpv9i7r8rxqTHm4SFgymhpL,2021-05-03T21:48:48.980Z,NaN,
16.2,NaN,,manual,manual,1620067080879,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,sOrEDA2lbW99125qvbxCiI1dOdduas,2021-05-03T18:38:00.879Z,NaN,
16.7,NaN,,manual,manual,1620057841671,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,hbWthNkV6IlouL7W6mla7nGoiLSRi7,2021-05-03T16:04:01.671Z,NaN,
17,NaN,,manual,manual,1620050142366,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,wDy0YtPzoIiGeX5ZmFmzF1WSBMaPrh,2021-05-03T13:55:42.366Z,NaN,
16.4,NaN,,manual,manual,1620032868267,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,bW2ASlnfJQ0cVK3uCR10N2TiwosiyY,2021-05-03T09:07:48.267Z,NaN,
16.9,NaN,,manual,manual,1620025479361,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,m8lv9fwKLymr67ZsIg6jiXxIG9AvWN,2021-05-03T07:04:39.361Z,NaN,
16,NaN,,manual,manual,1619988377584,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ttU7GXUJAQb5O60JahNVH7LlHef4GC,2021-05-02T20:46:17.584Z,NaN,
17.4,NaN,,manual,manual,1619967240000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,XDMem7fZmAQimtwYeZvHyDEVI6Niye,2021-05-02T14:54:00.000Z,NaN,
22,1.038,,manual,manual,1619960700000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,i30hqUT95neq31LKuJoVjdxLRBcc1W,2021-05-02T13:05:00.000Z,NaN,