temp,time,type,comment,id,sg,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19,1616771335257,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DZTKef6P0LyCG3SgN2OtANnyN2kPWT,2021-03-26T15:08:55.257Z,,
19.7,1616759770421,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,SuwjrKVg4BYAdJoZK4iIBQaIOE4pOE,2021-03-26T11:56:10.421Z,,
20,1616743380000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,aati565dvkJNra9bE5sfAJrwtxjQAF,2021-03-26T07:23:00.000Z,,
19.9,1616706471499,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,gzfLHYZvDtJnVg6AvRM1hPbUVla2Yr,2021-03-25T21:07:51.499Z,,
20,1616692686502,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,X31HJ0Caqim89clJLK5ashWE4Qj5Ur,2021-03-25T17:18:06.502Z,,
19,1616666877960,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Gyfg1IcrGfeOnVzA0SbNCFNUJAZ2hy,2021-03-25T10:07:57.960Z,,
19.6,1616658284677,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,USFGPIrWAZobW4SFERI1lHUxfhHss4,2021-03-25T07:44:44.677Z,,
19.5,1616615040000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,f7OgYcPVubUfJAC77Iuh5wNBnSqFLK,2021-03-24T19:44:00.000Z,,
20,1616599139942,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,rXtQJjsAR1MmDCWPBOvTi5woLt0cKl,2021-03-24T15:18:59.942Z,,
19.2,1616584708951,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,yVunqWjaukpJicUhv7MPXTDBgyD7dI,2021-03-24T11:18:28.951Z,,
19.2,1616569869609,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,tHNGnA68MWyt9bZHoRPBESb8u1K1jX,2021-03-24T07:11:09.609Z,,
18.9,1616535233889,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,TIOPR9t0rV9xvGVh1uHQXg81YwCfJZ,2021-03-23T21:33:53.889Z,,
19.9,1616511660000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,27cpB8HbgbYDqfDXpZySU9ANSkTQXa,2021-03-23T15:01:00.000Z,,
19,1616497570907,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,KcrNrcUjeqrAtR3pNbgGELijYafris,2021-03-23T11:06:10.907Z,,
19.9,1616485020000,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,olBCEk8mdIjL5E3qURhO89BKzfiKny,2021-03-23T07:37:00.000Z,,
19.4,1616452657026,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,W6trZoFTKwmarjCBZGp1jOaAlNSfbV,2021-03-22T22:37:37.026Z,,
19.3,1616438443224,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,DhwiR9wI09o2eTGRkWL6BsNFt8qlyC,2021-03-22T18:40:43.224Z,,
19.7,1616421701196,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,W3kbcmQNWRSiMG0PC7ksANMqIoOS7Z,2021-03-22T14:01:41.196Z,,
19.3,1616407391653,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Q13S7KZ2mQoye1pUBweuOmjOZmOMal,2021-03-22T10:03:11.653Z,,
20,1616395745318,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,CxFhQdO6aIL3JhPsw7dbYAzmnRhPyz,2021-03-22T06:49:05.318Z,,
19,1616358821716,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,MUOa6NG4yagEXmxfm63iIEF8AaWMnh,2021-03-21T20:33:41.716Z,,
20.1,1616346051110,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ZZ7c1yav7pqKtzSvVS3A3n35pkgs60,2021-03-21T17:00:51.110Z,,
,1616338260000,manual,,manual,1.006,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,MPjRywxyFCT05gDO47DZpkGlpZzyRy,2021-03-21T14:51:00.000Z,,
22.7,1616335533421,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,RcAMUit3khmLcjz7E6gG5gsRZtIjAN,2021-03-21T14:05:33.421Z,,29.007548
22.9,1616331147879,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,7Wfq1skCYceFs8hIkLNmSgtVE4wOdQ,2021-03-21T12:52:27.879Z,,435.113213
22.1,1616324442239,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,6zMzBSpdKi3lUtg6JxF87YEkFKzQQM,2021-03-21T11:00:42.239Z,,29.007548
22.8,1616317705195,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,fitQiUxPjJsEFGFf46EqZiSUIiHFBA,2021-03-21T09:08:25.195Z,,14.503774
22.7,1616279368540,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Ji05hemSW9y3jWPalOr3t9mv78Ukbg,2021-03-20T22:29:28.540Z,,580.150951
22.8,1616264287294,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,v5rlFs4RCpDTHGxGdIgVw7gNc1STvg,2021-03-20T18:18:07.294Z,,58.015095
22.8,1616251878076,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Ztjg1BdxNStX6VMAnBrgb65qv5H9gY,2021-03-20T14:51:18.076Z,,14.503774
22,1616240367517,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,HPC3cDmXGbjWWewtR9Na1vJ3kux5Gt,2021-03-20T11:39:27.517Z,,1.450377
22.9,1616232878363,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,6MmNR0CFHPtjNIoqvzjlilK6QOtUZZ,2021-03-20T09:34:38.363Z,,130.533964
22.3,1616194471185,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,7XYN7h3Uta6DmfkyAVJJIn1qhpeV2H,2021-03-19T22:54:31.185Z,,87.022643
22.7,1616180700000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,1pOriV9eT75niJO9ElyWSMJGe0OPW3,2021-03-19T19:05:00.000Z,,72.518869
22.4,1616172720000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,G5c8Royd95sebQ8qZxE2vAwrXUBv5g,2021-03-19T16:52:00.000Z,,1.450377
22.5,1616163720000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,dax5lwkwEYYLlJ8RYICrum1vWz4Be6,2021-03-19T14:22:00.000Z,,290.075476
22.2,1616158320000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,U7YDdm3ru55k65eiUBZAmR90n3GN6T,2021-03-19T12:52:00.000Z,,1.450377
23,1616153400000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,49QhJcu3HD1ttV2jPmh4MyqYBnYgoT,2021-03-19T11:30:00.000Z,,58.015095
22.5,1616137812400,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,iHjgubhHvrquVyjtFF2Y6vWDrIa9bj,2021-03-19T07:10:12.400Z,,217.556607
22,1616107313191,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ZvsKKNofQ1KqSehMe4LQGXDFUmDxgK,2021-03-18T22:41:53.191Z,,72.518869
22,1616086532545,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,E39couaSPF9OAtxhsF4gLRkF7CxdxI,2021-03-18T16:55:32.545Z,,58.015095
22.8,1616064386168,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,wAd9tHW1DefGNfPUioTbC4Sk4aBkwG,2021-03-18T10:46:26.168Z,,217.556607
22.1,1616049159630,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ge0yfYeJ1tu5bQem2avUEOZobAZIca,2021-03-18T06:32:39.630Z,,174.045285
22.5,1616021471806,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,e39bU8CCFsCEJqcScdNe1cofYnRyO9,2021-03-17T22:51:11.806Z,,174.045285
22.5,1616013720000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ZiJsM0ylzZcUfb4K5iNaaYmK2DdhoI,2021-03-17T20:42:00.000Z,,145.037738
22.7,1616006173067,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,kPdjs93l2tiwPZJyfQQp4HqhEXDJcU,2021-03-17T18:36:13.067Z,,478.624535
21.7,1616000201873,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,9vVHE3PPticHNitZRJd2HvzE01veA0,2021-03-17T16:56:41.873Z,,580.150951
20.6,1615994449734,manual,,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,hz7goGJMIdD07kQvFikgOuGJc5bYbj,2021-03-17T15:20:49.734Z,,
20,1615989980209,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,eLJzBbQH1n86jHo19jGQ5tXi597BkQ,2021-03-17T14:06:20.209Z,,43.511321
19.1,1615981355207,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,8B0GgKzMC4HRofhBwy7lvNuBf4k7qm,2021-03-17T11:42:35.207Z,,14.503774
19.2,1615966772080,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,5ZQvdyhPi2ER8XZzWLxAAFEqDqDtSn,2021-03-17T07:39:32.080Z,,43.511321
19.6,1615935200904,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,PzkSH0BqtkqV0gvKTw6o75rRFNUFTy,2021-03-16T22:53:20.904Z,,58.015095
19,1615923586508,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,9rTgTn4LxZM4XKJEpyBhXzC6Akbg4j,2021-03-16T19:39:46.508Z,,14.503774
19.5,1615912499280,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,4xFC9ZYlF3cA9OrU6gsrj4afTLsrcI,2021-03-16T16:34:59.280Z,,116.03019
19.4,1615895818588,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Rvqm03aWViWMbywyl73PPfL2Mkt4Z7,2021-03-16T11:56:58.588Z,,159.541512
19.1,1615877092524,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Td2WVEUrkkaYNFF5DG9NFbIvtf06Mj,2021-03-16T06:44:52.524Z,,0.145038
19,1615849080000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ewtoq7FWvSZh1pq8PhJXf9Rl8KFfeL,2021-03-15T22:58:00.000Z,,101.526416
19,1615837020000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ZDL9Uy2ZhqOqbTOHI4bkeKQHq4jpyY,2021-03-15T19:37:00.000Z,,29.007548
19.4,1615823948965,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,M0GwbP5DDKoJ9sYRi7nsjLQeCKiYLJ,2021-03-15T15:59:08.965Z,,580.150951
19.7,1615810500000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,y0eODdkjlbiL2dSve4BdJsJurnvSWe,2021-03-15T12:15:00.000Z,,290.075476
19.9,1615795702198,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,BOMzLqAK53t7GPghP8nxjoKMngEFTk,2021-03-15T08:08:22.198Z,,652.66982
19.9,1615762693934,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,M0xNiXiuE05VKCXwPqvEFjjvj7wPxO,2021-03-14T22:58:13.934Z,,174.045285
19.5,1615752224754,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,wmRZsNn2Izkq6gueEYcyh6VzTjvYAB,2021-03-14T20:03:44.754Z,,29.007548
19,1615740720000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,otiHr6iI1ads1YhJb33BP0qxZYwa1u,2021-03-14T16:52:00.000Z,,174.045285
20,1615731508727,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,41HfMSbrRdSi4sSPwdxySW7lyXeuvz,2021-03-14T14:18:28.727Z,,652.66982
19.7,1615728742574,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,1d07SvW44ccELQvPQW8IIhhmKUqYtm,2021-03-14T13:32:22.574Z,,652.66982
18.9,1615724685985,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,SCJ6UxUMFkSkRrnWWLdHSjv4LOesd7,2021-03-14T12:24:45.985Z,,652.66982
18.4,1615721835675,manual,"added 5 grams Citra hops, no bubbles",manual,NaN,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,tuMUImiltGUtdkK6hSIPq4FCup48sD,2021-03-14T11:37:15.675Z,NaN,217.556607
19,1615720899618,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,xl16NsmlyJ82qdmP6unDwbbsWwL9ZG,2021-03-14T11:21:39.618Z,,29.007548
19,1615707773762,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,E7Rilnf1lmUCrCuSRWhnSenk1quf5l,2021-03-14T07:42:53.762Z,,116.03019
19,1615676213295,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,m8GT1A31Uii0LwEIuHUPyfL34lxKQ9,2021-03-13T22:56:53.295Z,,652.66982
19.5,1615663277263,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,S4JqZU3YxbLfvGcEiGaXZB1ec6D408,2021-03-13T19:21:17.263Z,,725.188689
20.1,1615650230339,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,abUoTHbXuiXg1UyHk8H7ZQ83i18rkk,2021-03-13T15:43:50.339Z,,435.113213
20,1615634640000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,XaIHrxjdXe4cw8jLGfn7vPbb8WSo23,2021-03-13T11:24:00.000Z,,507.632082
19.9,1615622220696,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Noa3fW6riFJEKpXsklebmP6vTC2Mkd,2021-03-13T07:57:00.696Z,,188.549059
20,1615588614686,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,BRxGsgdKogFk3jg8nsXViPR3ZMSCHC,2021-03-12T22:36:54.686Z,,725.188689
19.6,1615578205731,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Qy4A3LOSNSZDJsQO4yso6bLijs0qrf,2021-03-12T19:43:25.731Z,,217.556607
19.1,1615565100000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,E9HSRYzWtoVFk9PLYGk28oaxHfKs6T,2021-03-12T16:05:00.000Z,,145.037738
19.3,1615550178541,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,UH4uD53D03ifDODOTnuLWy3bvdSozP,2021-03-12T11:56:18.541Z,,145.037738
19.5,1615533651064,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,sdH2uHMidJ6kyKlx3ndikCzHnhn0TO,2021-03-12T07:20:51.064Z,,507.632082
19.3,1615504330892,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,yfV9kkaHsqdf0Nt3DP3Q3k3Zmh8MuZ,2021-03-11T23:12:10.892Z,,652.66982
19.5,1615487717358,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,HmZLXeHNLpRNTqjJMFYuSfaJ2qwNEt,2021-03-11T18:35:17.358Z,,652.66982
19.4,1615479068755,manual,no bubbles,manual,NaN,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Pw6cvBtnxQNylBbijAgS5TjgZcIgq1,2021-03-11T16:11:08.755Z,NaN,652.66982
20,1615466163007,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,NOloouZ1TRLU0lrbkeORHxQopIHJcX,2021-03-11T12:36:03.007Z,,652.66982
19.5,1615454220000,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,4iV55y3qeUdYXCMpPVZK1KUjFI3Kes,2021-03-11T09:17:00.000Z,,652.66982
19.8,1615448288092,manual,few bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,BJJMkOXcW7gCv5cKdDDicn2En8eNhi,2021-03-11T07:38:08.092Z,,725.188689
20,1615405573468,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,Kr49nkBzDLmxzt6z3zMuVAFtciTlT8,2021-03-10T19:46:13.468Z,,725.188689
19.7,1615403580000,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,wClb1gZu6wVt7jy0fFDO3LdDC4D2cK,2021-03-10T19:13:00.000Z,,725.188689
19.5,1615396500000,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,AJeXJwDfPeMPO43e8jSLTy2RIFtrPB,2021-03-10T17:15:00.000Z,,725.188689
19.3,1615384440000,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,kVVkHsnpOFzccj74Y01HXf9lyHvNFO,2021-03-10T13:54:00.000Z,,725.188689
19,1615373379570,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,kx4XJjrF6fCSV9iM4zk7snu3ArcSUi,2021-03-10T10:49:39.570Z,,725.188689
19.3,1615363183063,manual,no bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,jHR4h0Ass1BjMLAWNPcSIITe0eaSQo,2021-03-10T07:59:43.063Z,,725.188689
19,1615321588387,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,UcsXoKUsfdoVJLSjMmMmTPbnqjkTCx,2021-03-09T20:26:28.387Z,,725.188689
19.7,1615303217627,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,KyVUrjpWDUB1a7eVP28O2Zv5AtXc3p,2021-03-09T15:20:17.627Z,,725.188689
19.5,1615290720000,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ElB7no061U9TPOj6YB2AeMXYlxb21p,2021-03-09T11:52:00.000Z,,725.188689
19.7,1615283489088,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,zQp1E4vRexjHu3yJYWwgeogXRm2kL2,2021-03-09T09:51:29.088Z,,725.188689
19.8,1615275126135,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,UIJSsh4lQIF5dOS6B1hJDZOyRwPsxV,2021-03-09T07:32:06.135Z,,725.188689
19.4,1615242538877,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,MZLO6iHwlyu8XNswlmL9DAivavbotv,2021-03-08T22:28:58.877Z,,725.188689
19.7,1615229748129,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,qabIz0sJAZc5yD91Lzr7FYQUV0LUnB,2021-03-08T18:55:48.129Z,,725.188689
20.1,1615217100000,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,TQiIwAwCBBum6TT9mxpmSRVoBoEuZr,2021-03-08T15:25:00.000Z,,725.188689
19.8,1615206396351,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,GnjtiyGtkSHEPIynP67J1cD00DyEyO,2021-03-08T12:26:36.351Z,,725.188689
19.2,1615197220087,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,dqzs1xIlyroiKixWpIAuXgapPNd5AS,2021-03-08T09:53:40.087Z,,725.188689
19,1615189027015,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,yWaBQh7nKyxRFF9iHOYuZGEmOzDQ14,2021-03-08T07:37:07.015Z,,725.188689
19.1,1615153660085,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,MMRE9XgslbZoSNTYffwWbAH6b0LfaS,2021-03-07T21:47:40.085Z,,725.188689
19.1,1615143078870,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,uUYMRA37XlNVXQuI9jTcfw5FrTCdyL,2021-03-07T18:51:18.870Z,,725.188689
20.1,1615136125211,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,JDELtaAttDx2ikDW3zxYGOuNvezIfi,2021-03-07T16:55:25.211Z,,725.188689
19,1615131108538,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,FinUB8jG7qPpDaeG4eQJoxzbxQXiQ9,2021-03-07T15:31:48.538Z,,725.188689
19.2,1615120320030,manual,many bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,46WT5KcCNFXcZxWeuDgrCFbUethubn,2021-03-07T12:32:00.030Z,,725.188689
19.8,1615103099278,manual,some bubbles,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,kj4JtRDBxtPyRmZIg4BR5rJ4mHlQz7,2021-03-07T07:44:59.278Z,,725.188689
19.8,1615069065912,manual,no bubbles.,manual,,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,t2tBqGfewnghKepvYgB1VMMEZBB7ih,2021-03-06T22:17:45.912Z,,725.188689
19.2,1615059829514,manual,no bubbles.,manual,NaN,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,ejvm6GUc2IhlVpXV6PvXlZtRdv9sUN,2021-03-06T19:43:49.514Z,NaN,725.188689
20,1615052560368,manual,,manual,NaN,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,fKERYo745UAID0sGM5yfu2bQhqIllK,2021-03-06T17:42:40.368Z,NaN,1.450377
18.5,1615038840000,manual,pitched 5 grams US-05 yeast,manual,1.06,iZrIJAf5RTwZYDQweya2G0qVpRoHr0$0$manual$manual$0,VYayqKJAQ0cu2jEljyrGCKOJyuhGMS,2021-03-06T13:54:00.000Z,NaN,1.450377